year_month,ITX_count,GC_count,강촌레일파크,국립춘천박물관,김유정문학마을,남이섬유원지,막국수체험박물관,물레길,애니메이션박물관,제이드가든,춘천에티오피아한국전참전기념관,춘천지구전적기념관,엘리시안강촌스키장
201601,140901,167625,12932,23193,44450,108900,3171,0,36280,5221,9783,9349,97462
201602,141916,164048,18142,15078,39400,111883,1468,20,27417,6422,7633,6902,44232
201603,141089,219234,20506,15315,38600,111193,1501,1260,13801,10420,11126,9724,1332
201604,157524,237565,46584,16358,70500,207715,2512,3441,31193,30000,10197,12307,0
201605,176039,266941,67852,20693,97300,256204,4046,6558,73271,47000,11911,12403,112
201606,150226,219516,45082,18206,60560,188090,3066,5463,33740,34000,9150,11826,2676
201607,149813,196039,32100,17063,56690,147352,3059,3189,39837,21800,9032,10552,9277
201608,157298,227395,35500,22037,9685,187340,4009,3558,56477,29650,9788,9686,13243
201609,156940,218053,36700,22882,9515,140939,2243,3363,28715,28830,8723,8768,128
201610,159959,245710,66172,19480,21608,271629,4817,3820,49611,44171,11487,13247,0
201611,126247,204816,29292,20305,8087,166557,2189,2081,28505,19701,8242,9853,623
201612,136183,179409,9748,25991,5702,78224,1522,94,24660,6151,10432,8703,52059
201701,142225,160968,13750,15452,3763,76007,0,0,25661,4113,5402,6151,79380
201702,128416,163172,17930,11600,4973,86282,0,0,27185,5230,5620,9091,43742
201703,137159,209097,27042,6691,5534,84979,0,613,22199,8193,6677,9647,1287
201704,147959,227444,35004,12132,10784,171453,977,4768,26527,31000,7237,11586,0
201705,162412,254757,61266,25396,20200,257860,2929,8544,56698,66000,8128,10925,0
201706,139372,204946,39336,12020,9310,142936,1743,5124,21899,34256,6976,9962,0
201707,136832,177504,25444,11861,8986,95447,6192,2445,40433,22446,18646,8879,0
201708,150188,208931,42680,13122,13795,147044,9689,3516,68634,38835,37743,10091,0
201709,152690,220342,46608,14497,11520,128767,3775,4242,34868,23226,18218,11337,0
201710,179544,239946,64780,10201,21347,350367,4203,7700,36485,62415,18661,10423,0
201711,142663,190627,25616,15186,8308,179311,2465,1296,17246,17887,14942,10980,2078
201712,152064,176800,6682,22893,4504,75335,1861,0,18037,5961,14425,10856,62986
201801,128180,148328,5782,12747,3877,64210,2272,883,16405,3604,12508,8218,100730
201802,128201,141277,7484,18541,3133,60132,1428,202,9968,4051,8999,6619,65063
201803,141228,193438,16142,16029,5324,85599,2005,959,6230,9189,14264,10190,2552
201804,140091,209915,29408,37837,9581,144072,2270,2340,11649,25933,10461,13548,0
201805,160296,236993,21340,18797,17825,204026,4831,6174,35709,47662,12499,11077,0
201806,147135,200903,26940,15156,9579,139527,592,3660,12738,32342,11537,11466,0
201807,131003,176984,7550,15892,5531,92720,2761,2052,13042,17862,10443,9466,0
201808,132494,191153,9648,16656,5816,104141,4988,2148,21471,25543,9812,8891,0
201809,152710,206037,22056,26225,10094,175371,3349,3636,48967,28969,8913,10036,0
201810,151656,225541,43862,25107,17314,332691,3270,4626,85603,44199,10509,9974,0
201811,139816,190788,22622,19939,7476,218187,2065,1236,18545,18774,8215,10269,1039
201812,140415,170280,7900,24138,4798,88490,1393,0,27043,5406,10611,10519,46961
201901,124098,151262,7266,17992,3807,75222,2295,123,34595,2811,8068,10335,73973
201902,131992,149849,12790,16759,4912,77435,1682,1237,27975,4167,4518,8436,59204
201903,139915,193618,22664,17721,7755,82997,2342,831,32757,8009,3433,12981,2005
201904,131086,200345,38402,38406,9010,136365,1749,1197,19992,20155,4203,11585,0
201905,150438,224957,56240,23958,16564,195610,3241,5667,44519,38253,5086,12845,0
201906,140950,195879,40622,19880,8620,144932,3267,3366,34158,27330,4659,12149,0
201907,124133,167219,19436,22791,8146,92864,2715,2587,30807,15457,3778,10791,0
201908,140620,203358,27112,26609,8694,130581,3765,3400,54614,20042,5355,11736,0
201909,139916,184375,25860,27039,12715,113654,1524,3145,57697,21821,6837,8880,0
201910,148842,214495,42968,20684,17470,258565,3462,3988,98270,37773,4464,12696,0
201911,136725,189992,22834,20577,8397,207057,1874,1920,23210,19995,3781,12084,1820
201912,140734,168207,9544,22684,5239,84057,1481,120,24510,4687,3056,10874,37067
202001,130144,150468,9362,13989,3714,64195,1373,0,29592,4192,2705,10493,64815
202002,78590,103570,6708,4364,1944,30053,821,0,12432,4091,1745,7676,24186
202003,53320,81602,11212,0,0,43136,0,0,0,10074,0,0,160
202004,69417,107039,17636,0,0,62681,0,0,0,19724,0,0,0
202005,92463,131566,28048,13175,2151,90027,588,0,8308,34579,955,617,0
202006,84191,125858,16418,10843,2765,78875,752,0,10163,19085,491,1442,0
202007,96156,136388,18914,11189,3578,71390,1128,0,17003,16633,0,1328,0
202008,83978,110785,12234,13106,3049,41055,1308,0,23430,13626,0,607,0
202009,68487,103145,18360,611,0,49132,0,0,0,16338,0,0,0
202010,104944,145978,42088,8352,4359,129386,951,1532,12207,32303,0,1722,0
202011,95857,120070,19360,7376,3716,126877,737,336,14953,14683,0,2348,0
202012,58017,83373,3306,4009,82,50807,320,4,4038,3597,0,305,7073
